st_line,st_name,st_lat,st_lng,st_count
3호선,동대입구역,37.5590540173075,127.005314877093,1
3호선,가락시장역,37.49267428704235,127.11795224173301,2
3호선,충무로역,37.561454272587,126.9947030620235,2
3호선,양재역,37.484020744498,127.03465910394999,2
3호선,도곡역,37.49130203976455,127.0553034546895,2
3호선,녹번역,37.6008067681825,126.935828008217,1
3호선,오금역,37.502249845475575,127.12821691593938,2
3호선,구파발역,37.6364357889145,126.918852820009,1
3호선,종로3가역,37.5715248150862,126.99148299809167,3
3호선,백석역,37.6429623651607,126.788131509803,1
3호선,연신내역,37.61885885208545,126.9207771194965,2
3호선,매봉역,37.4869394661317,127.046711448388,1
3호선,일원역,37.4839886684666,127.084129757128,1
3호선,원당역,37.6531102058516,126.842918441607,1
3호선,교대역,37.4933215833981,127.014125899471,2
3호선,을지로3가역,37.5663609312826,126.991800526738,2
3호선,안국역,37.576500118896,126.985423696742,1
3호선,대곡역,37.6317740227786,126.81041773395049,2
3호선,원흥역,37.6506921774602,126.87302523491,1
3호선,학여울역,37.4968851977644,127.071166599707,1
3호선,수서역,37.48746687415025,127.102028224831,2
3호선,금호역,37.5482627248715,127.015829169834,1
3호선,대청역,37.4937083222418,127.07952699005,1
3호선,대치역,37.4944966528582,127.063203409529,1
3호선,대화역,37.676157377075,126.747500970967,1
3호선,압구정역,37.5264921751712,127.0285086593,1
3호선,정발산역,37.659480619983,126.773405960872,1
3호선,잠원역,37.5128899169357,127.011419491429,1
4호선,성신여대입구역,37.5926762492046,127.016837259246,2
4호선,충무로역,37.561454272587,126.9947030620235,2
4호선,숙대입구역,37.5445952301115,126.972118127373,1
4호선,정왕역,37.3518229615641,126.742929908305,1
4호선,수리산역,37.3505579695805,126.92563095069,1
4호선,정부과천청사역,37.4265047272927,126.989868044926,1
4호선,범계역,37.3897837540429,126.950783269518,1
4호선,산본역,37.3580193085257,126.933046329836,1
4호선,사당역,37.47707581870955,126.981628551993,2
4호선,명동역,37.5609634671841,126.986400086711,1
4호선,반월역,37.3123817631801,126.90382444207,1
4호선,수유역,37.637884492978,127.025510241279,1
4호선,한성대입구역,37.5884228114979,127.006018948943,1
4호선,미아역,37.6266544891889,127.026041090189,1
4호선,미아사거리역,37.6132792649944,127.030086636648,1
4호선,한대앞역,37.3097642520521,126.853688654794,1
4호선,신길온천역,37.337633057163956,126.7670414423186,1
4호선,삼각지역,37.534996698024045,126.97347774384784,2
4호선,평촌역,37.39423950914369,126.9638080221341,1
4호선,동작역,37.502860489988,126.979430476473,2
4호선,인덕원역,37.4014941709597,126.976679855187,1
4호선,쌍문역,37.6485426057036,127.03465609756,1
4호선,노원역,37.65542571383445,127.06200235100955,2
4호선,상록수역,37.30285235924208,126.8666056400078,1
4호선,남태령역,37.4642499558525,126.989085267707,1
4호선,혜화역,37.5820439179086,127.001942745502,1
4호선,안산역,37.3270130575427,126.788881942392,1
4호선,이촌역,37.522514310935335,126.97369876462238,2
4호선,길음역,37.603394782557096,127.02505906491119,1
4호선,중앙역,37.3160120850251,126.83849638923743,1
4호선,초지역,37.320205007584704,126.8069047141515,2
4호선,과천역,37.4328771044773,126.996619382321,1
4호선,오이도역,37.36218429214502,126.73860730452598,2
4호선,고잔역,37.31679729846911,126.82303461775037,1
4호선,경마공원역,37.4439629881231,127.007838042533,1
4호선,회현역,37.558760244882336,126.97843725718793,1
4호선,서울역,37.55411322303234,126.97149440831866,3
4호선,당고개역,37.6702168353314,127.079066619316,1
4호선,상계역,37.660720544722,127.073421632239,1
4호선,금정역,37.37240328522215,126.94337272660249,2
4호선,대공원역,37.4360557449009,127.006752481821,1
4호선,총신대입구역,37.48604450978735,126.9819429502675,2
4호선,창동역,37.65335457852995,127.04801670479799,2
4호선,동대문역사문화공원역,37.5651434225553,127.00757002261967,3
4호선,선바위역,37.451747988798516,127.00222869400723,1
4호선,동대문역,37.571287439691,127.009972687514,2
4호선,대야미역,37.327965125951,126.916897519557,1
4호선,신용산역,37.5292591489375,126.967965039183,1
5호선,천호역,37.5382232714691,127.123565904086,2
5호선,오금역,37.502249845475575,127.12821691593938,2
5호선,공덕역,37.543214808720975,126.95216717062576,4
5호선,광나루역,37.5452991715677,127.103521464507,1
5호선,오목교역,37.5245340839144,126.875307312696,1
5호선,마곡역,37.56022863776301,126.82469691791624,1
5호선,영등포구청역,37.52502984472145,126.8959997468245,2
5호선,영등포시장역,37.522709383885,126.905179566968,1
5호선,고덕역,37.5550467687924,127.154163876055,1
5호선,올림픽공원역,37.516227655596495,127.1306083033245,2
5호선,송정역,37.5611612387718,126.812430347154,1
5호선,광화문역,37.5716477085545,126.976423148119,1
5호선,왕십리역,37.56150147025363,127.037887844355,4
5호선,서대문역,37.5657528373011,126.966636426216,1
5호선,거여역,37.4933304500736,127.143773841911,1
5호선,개화산역,37.5725371505293,126.806814314979,1
5호선,개롱역,37.4979682783882,127.135079598384,1
5호선,강동역,37.5358819145235,127.132396300314,1
5호선,우장산역,37.5488170866429,126.836325138536,1
5호선,을지로4가역,37.56710181748045,126.99783805338001,2
5호선,동대문역사문화공원역,37.5651434225553,127.00757002261967,3
5호선,행당역,37.5573637818732,127.029511840513,1
5호선,화곡역,37.5416507925709,126.840455026335,1
5호선,상일동역,37.5566778757215,127.165905758209,1
5호선,여의도역,37.5214727418872,126.9245295165685,2
5호선,마장역,37.5661389565959,127.042984855663,1
5호선,답십리역,37.56697480965114,127.05256127651293,1
5호선,종로3가역,37.5715248150862,126.99148299809167,3
5호선,청구역,37.56056337125355,127.0140548290955,2
